2021-05-20T13:45:56,428 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:45:56,657 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:45:56,658 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = []. 
2021-05-20T13:45:56,737 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:45:56,738 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:46:47,152 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T13:46:47,237 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:46:47,238 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:46:47,526 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female) 
2021-05-20T13:46:47,528 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T13:46:47,529 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T13:46:47,530 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T13:46:47,576 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:46:47,577 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:51:12,465 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T13:51:12,587 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:51:12,589 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:51:12,863 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
